titulo,subtitulo,texto,data,url,portal,vies_politico,justificativa_llm
Ideia: Lula e Flávio Bolsonaro empatam em simulação de 2º turno,Diferença dentro da margem de erro mantém cenário aberto e evidencia dificuldade de ruptura da polarização,"O cenário político para a sucessão presidencial de 2026 apresenta um quadro de polarização acentuada e equilíbrio estatístico. Segundo levantamento do instituto Meio/Ideia divulgado nesta quarta-feira (6), o senador Flávio Bolsonaro (PL-RJ) e o presidente Luiz Inácio Lula da Silva (PT) aparecem em empate técnico em uma eventual disputa de segundo turno.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

No confronto direto, Flávio Bolsonaro soma 45,3% das intenções de voto, enquanto Lula registra 44,7%. Como a margem de erro da pesquisa é de 2,5 pontos percentuais para mais ou para menos, os dois principais nomes da disputa encontram-se em situação de igualdade. O grupo de eleitores que votaria em branco ou nulo soma 6,5%, enquanto 3,5% não souberam responder.

Desempenho contra outros nomes da direita

Além do embate com o clã Bolsonaro, a pesquisa testou a força do atual presidente contra outros governadores e lideranças do campo da direita e centro-direita. Lula mantém vantagem numérica fora da margem de erro contra nomes como Ronaldo Caiado (PSD) e Romeu Zema (Novo).

No cenário contra o ex-governador de Goiás, Ronaldo Caiado, o petista lidera com 44,7% frente a 40% do adversário. Já em uma disputa contra Romeu Zema, ex-governador de Minas Gerais, o placar é de 44% a 39%.

O levantamento também incluiu simulações com nomes menos competitivos no momento. Contra Ciro Gomes (PSDB), Lula vence por 44% a 34,5%. Diante de Renan Santos (Missão) e Aldo Rebelo (DC), a vantagem do atual mandatário é mais ampla, superando os 17 e 20 pontos percentuais, respectivamente.

Terceira via e indecisos

Um dado relevante das simulações é o comportamento dos votos brancos, nulos e indecisos, que cresce substancialmente à medida que os nomes da oposição se afastam da polarização tradicional. Enquanto no cenário entre Lula e Flávio esse grupo representa 10% do eleitorado, em um eventual embate entre Lula e Aldo Rebelo, o índice de dese",2026-05-06 15:04:53+00:00,https://jornalggn.com.br/eleicoes/2026/pesquisa-meio-ideia-lula-e-flavio-empatam-em-simulacao-de-2-turno/,jornalggn,NEUTRO,"** A notícia apresenta uma análise equilibrada das intenções de voto para a sucessão presidencial em 2026, sem adotar um tom crítico ou defensivo em relação aos principais candidatos."
"Exploração de minerais críticos promete ser o ""petróleo do século 21""",Criticas ao PL 2780/2024 abrem margem para defesa da reindustrialização e do controle estatal das reservas de terras raras,"Em entrevista ao jornalista Luís Nassif na noite de segunda (4), a jurista Luciana Bauer e o cientista político Pedro Costa Júnior expressaram grande preocupação com a crescente presença de empresas estrangeiras no setor de mineração de terras raras no Brasil. Eles alertam que, embora o Brasil possua soberania constitucional sobre seus minerais, há um “vazio estratégico” na legislação atual. A ausência de uma legislação que estabeleça uma cadeia de valor para as terras raras e promova a reindustrialização do país pode levar a um cenário semelhante ao ocorrido com a Venezuela, onde empresas estrangeiras se instalam e, posteriormente, surge a narrativa de expropriação de cidadãos e empresas.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

Luciana Bauer e Pedro Costa Júnior criticaram o relatório do projeto de lei 2780/2024, do deputado Arnoldo Jardim, propondo 20 tópicos para um substitutivo. Eles apontaram que é preciso garantir a soberania do Brasil sobre seus minerais críticos, incluindo a criação de uma cadeia de valor, uma reserva crítica e uma lista nacional de minerais essenciais para indústrias como a da medicina. Eles criticam o projeto original de Jardim, considerando-o um “desastre” e inconstitucional, pois a Constituição estabelece a soberania brasileira sobre os minérios. O parecer também sugere um sistema híbrido de gestão, com o setor público atuando como indutor e garantidor, e a participação de empresas privadas na mineração.

Pedro Costa Júnior destacou que as empresas de mineração australianas, como a Viridis e a Meteórica, que atuam em Poços de Caldas e Andradas, são “próximas de interesses dos Estados Unidos”. Ele explicou que a Austrália, após ser pressionada pelos EUA a romper laços com a China, alinhou-se ao “Otanistão”. Essas empresas, com capital social baixo, buscam licenças através de acordos com prefeitos e governadores, e depois utilizam essas licenças para valorizar suas ações na NASDAQ",2026-05-05 19:58:35+00:00,https://jornalggn.com.br/noticia/exploracao-de-minerais-criticos-promete-ser-o-petroleo-do-seculo-21/,jornalggn,ESQUERDA,"** A notícia apresenta uma crítica ao PL 2780/2024 e defende a reindustrialização do Brasil com o controle estatal das reservas de terras raras, o que é um foco em justiça social e críticas ao mercado."
"Juros e eleições, por Paulo Kliass",O governo precisa oferecer à maioria da população ações concretas que evidenciem suas prioridades por recursos públicos.,"Juros e eleições

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

por Paulo Kliass

O Presidente Lula tem diante de si uma tarefa hercúlea: reverter a elevada desaprovação de seu desempenho à frente do Palácio do Planalto. Tanto ele como seu governo têm enfrentado grandes dificuldades quando a população se manifesta a respeito de sua opinião relativamente ao Executivo federal. Esta informação é bastante relevante quando vem acompanhada pelos resultados de outro tipo de sondagem – as pesquisas de intenções de voto no pleito de outubro próximo.

Os especialistas em processos eleitorais costumam afirmar que uma taxa de aprovação próxima a 45% e de desaprovação em torno de 50% para os chamados “incumbentes” (chefes do executivo que pleiteiam a sua recondução ao cargo pelo voto popular) representa um cenário de alto risco para a própria reeleição. Ora, para superar o quadro atual a menos de 5 meses do primeiro turno em 4 de outubro, tudo indica que o Lula precisa dar um verdadeiro cavalo de pau naquilo que vem impedindo a adoção de políticas públicas voltadas à maioria da população. Trata-se de recorrer à situação de emergência que atravessa a grande maioria da população endividada e encontrar as brechas necessárias para passar ao largo das amarras austericidas impostas pelo Arcabouço Fiscal, elaborado pelo ex Ministro da Fazenda Fernando Haddad.

Os atuais (ir)responsáveis pela área econômica do governo sempre apresentaram – e continuam a fazê-lo – as desculpas esfarrapadas do “não temos recursos”. Ocorre que isso se trata de uma grande falácia, uma vez que os recursos públicos existem em abundância. O problema é que eles estão sendo utilizados para realização de despesas de outra natureza. Ao invés de promover reajuste nos valores do Bolsa Família ou do salário-mínimo, o governo amplia os gastos com despesas financeiras. Ao invés de recompor estoques reguladores de alimentos para evitar a inflação de alimentos, o gover",2026-05-05 20:21:30+00:00,https://jornalggn.com.br/artigos/juros-e-eleicoes-por-paulo-kliass/,jornalggn,ESQUERDA,"** O texto apresenta uma análise crítica sobre a situação política do governo de Lula e sua reeleição, destacando a necessidade de ações concretas para melhorar a desaprovação popular."
Projeto Brasil: porque as terras raras comandarão a reindustrialização no país,"Não se montou, até agora, um projeto mapeando as possibilidades com a cadeia produtiva das terras raras, da extração aos produtos finais.","Quando se fala em terras raras, especialmente na relevância delas para a reindustrialização do país, ainda há muita mitologia, muita dificuldade para entender as possibilidades que se abrem com ela.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

Praticamente nenhuma associação industrial montou, até agora, um projeto mapeando as possibilidades com a cadeia produtiva das terras raras, da extração aos produtos finais.

Vamos a um exercício rápido em torno dessas possibilidades.

Peça 1 – a cadeia produtiva

Ou, em texto corrido:

Setores industriais ao longo da cadeia produtiva de terras raras

Elo 1 — Geologia e pesquisa mineral

Reservas de 21 Mt (2ª maior reserva do mundo), ainda subqualificadas tecnicamente.

Setores que emergem: geotecnologia e software (modelagem 3D, IA geológica aplicada à prospecção); sondagem e laboratórios analíticos (ensaios, metrologia mineral, qualificação de jazidas).

Elo 2 — Extração (lavra)

Produção atual residual frente ao potencial. Projetos Serra Verde (GO) e Caldeira (MG) são os mais avançados.

Setores que emergem: equipamentos de mineração (máquinas, sensores, automação de lavra); logística e infraestrutura (ferrovias, portos, armazenamento de concentrado).

Elo 3 — Beneficiamento (concentração)

Etapa incipiente no Brasil, com gargalo logístico entre mina e planta.

Setores que emergem: plantas de beneficiamento (flotação, hidrometalurgia); engenharia química e ambiental (gestão de rejeitos, licenciamento, passivo ambiental).

Elo 4 — Refino químico (óxidos e metais)

Principal gargalo. China domina mais de 70% do processamento global. Brasil praticamente ausente neste elo, que concentra o maior valor agregado da cadeia.

Setores que emergem: química fina e separação (extração por solvente, troca iônica — CETEM e IPEN têm rotas laboratoriais comprovadas); materiais avançados (cerâmicas técnicas, catalisadores, fósforos para iluminação, vidros especiais).

Elo 5 — Insumos int",2026-05-06 10:00:00+00:00,https://jornalggn.com.br/noticia/projeto-brasil-porque-as-terras-raras-comandarao-a-reindustrializacao-no-pais/,jornalggn,NEUTRO,"** O texto apresenta uma abordagem neutra e informativa sobre o projeto Brasil e as possibilidades de reindustrialização com a cadeia produtiva das terras raras. Não há críticas explícitas ao mercado ou à política econômica, nem foco em justiça social ou preservação ambiental."
Livro com ensaios sobre Afonso Arinos será lançado em São Paulo,"Coletânea com textos de juristas, economistas e escritores marca os 120 anos do intelectual e resgata sua influência na política e pensamento","Uma coletânea de ensaios sobre o legado de Afonso Arinos de Melo Franco será lançada no próximo dia 11 de maio, em São Paulo. Intitulado “Nos 120 anos de Afonso Arinos de Melo Franco”, o livro reúne 17 textos que revisitam a trajetória e a produção intelectual do jurista, diplomata e político mineiro, destacando sua relevância para áreas como direito constitucional, ciência política, história das ideias e política externa.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

O lançamento ocorre na Livraria Martins Fontes, na Avenida Paulista, e contará com a participação do embaixador Rubens Ricupero, que trabalhou com Arinos no Ministério das Relações Exteriores em 1961 e fará uma apresentação sobre sua obra.

Organizado por Arno Wehling e Rogério Faria Tavares, o volume traz contribuições de nomes como José Sarney, Edmar Bacha e Joaquim Falcão. Os textos abordam múltiplas dimensões da atuação de Arinos, incluindo sua passagem pelo Congresso, pelo Itamaraty e pela vida acadêmica.

A obra também reúne depoimentos pessoais, poemas — entre eles textos de Carlos Drummond de Andrade — e um conjunto de imagens cedidas pela família, compondo um retrato mais humanizado do homenageado. Arinos foi responsável pela primeira lei antirracista do período republicano, em 1951, e teve papel central na formulação da política externa independente durante o governo Jânio Quadros.

Falecido em 1990, quando exercia mandato de senador, Arinos também teve destaque na Assembleia Nacional Constituinte de 1987-1988, sendo o parlamentar que discursou na promulgação da Constituição.

Com mais de 500 páginas, o livro busca reintroduzir o pensamento do autor às novas gerações, destacando a atualidade de suas ideias sobre democracia, soberania nacional e Estado de direito.

Serviço

Lançamento: Nos 120 anos de Afonso Arinos de Melo Franco

Data: 11 de maio

Horário: das 18h às 21h

Local: Livraria Martins Fontes – Avenida Paulista, 509, São Paulo

E",2026-05-06 14:18:54+00:00,https://jornalggn.com.br/memoria/livro-com-ensaios-sobre-afonso-arinos-sera-lancado-em-sao-paulo/,jornalggn,NEUTRO,"** O texto sobre o lançamento do livro ""Nos 120 anos de Afonso Arinos de Melo Franco"" é considerado NEUTRO porque descreve eventos e fatos da vida de Afonso Arinos sem tomar partido político ou expressar juízo de valor."
Bilhete Único sob disputa: a captura por um grupo empresarial,Denúncia descreve um suposto processo de captura do sistema por um grupo empresarial com vínculos políticos com o Partido Progressistas,"Uma denúncia enviada à Controladoria-Geral do Município de São Paulo (CGM – Controladoria-Geral do Município de São Paulo), em 17 de abril de 2026, acende um alerta sobre o futuro do Bilhete Único (BU – sistema de bilhetagem eletrônica do transporte público municipal).

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

O documento, dirigido ao controlador-geral Daniel Falcão, descreve um suposto processo de captura do sistema por um grupo empresarial com vínculos políticos com o Progressistas (PP – Partido Progressistas).

A denúncia sustenta que o movimento não ocorreu de forma abrupta — mas em três camadas, combinando engenharia institucional, ocupação de cargos-chave e decisões técnicas com forte impacto operacional.

A origem: uma associação privada no coração do sistema público

O ponto de partida remonta a 2019, no âmbito da Secretaria de Transportes Metropolitanos de São Paulo (STM – Secretaria de Transportes Metropolitanos do Estado de São Paulo), então comandada por Alexandre Baldy.

Naquele ano, foi criada a ABASP (Associação Brasileira das Empresas de Bilhetagem e Serviços Públicos), uma entidade privada que reúne empresas públicas — como o Metrô de São Paulo (Companhia do Metropolitano de São Paulo) e a CPTM (Companhia Paulista de Trens Metropolitanos) — além de operadores de ônibus da RMSP (Região Metropolitana de São Paulo).

Pouco depois, a associação contratou a AUTOPASS (empresa privada de bilhetagem eletrônica) por 20 anos, sem licitação, sob a justificativa de inexigibilidade.

O ponto mais sensível: segundo a denúncia, 14 dos 24 associados fundadores da ABASP são sócios indiretos da própria AUTOPASS. Em termos práticos, os operadores teriam criado a entidade, ocupado suas instâncias decisórias e contratado a empresa da qual são beneficiários — um arranjo que levanta suspeitas de autocontratação.

O caso está sob análise do Tribunal de Contas do Estado de São Paulo (TCE-SP – Tribunal de Contas do Es",2026-05-06 10:04:28+00:00,https://jornalggn.com.br/cidades/bilhete-unico-sob-disputa-a-captura-por-um-grupo-empresarial/,jornalggn,ESQUERDA,"** A notícia apresenta uma denúncia sobre a captura do sistema de Bilhete Único por um grupo empresarial com vínculos políticos com o Partido Progressistas, destacando a suposta engenharia institucional e ocupação de cargos-chave. O tom da notícia sugere críticas ao modelo de gestão do transporte público municipal em São Paulo."
"M. Verlaine: Maioria do Congresso é contra o governo, ou o País?",Rejeição inédita ao STF e derrubada de veto ao PL da Dosimetria expõem inflexão institucional e tensão mais radicalizada entre Poderes.,"A maioria do Congresso é contra o governo, ou contra o País?

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

por Marcos Verlaine

Trata-se de ruptura inédita. Será que é (foi) episódica e/ou excepcional? Ou será a regra a partir de agora? A rejeição do nome de Jorge Messias ao STF (Supremo Tribunal Federal) pelo Senado não é (tampouco foi) apenas episódio político.

Trata-se, pois, de marco institucional. Pela primeira vez desde 1894, a Casa recusou indicado à Corte Suprema, rompendo assim tradição de mais de século.

Embora a Constituição assegure ao Senado o papel de sabatinar e aprovar ou rejeitar a indicação presidencial, a negativa sempre foi tratada como hipótese excepcional, reservada a situações de evidente inadequação técnica ou moral. Não foi o caso.

Tratou-se de veto essencialmente político: de um lado, motivado por retaliação, já que o indicado não correspondia à preferência do presidente do Congresso; de outro, marcado por viés ideológico, refletindo a oposição dura, radicalizada e sistemática da extrema-direita ao governo do presidente Lula (PT).

Voto político, não técnico

A votação que barrou Messias — 42 votos contrários e 34 favoráveis — carrega forte conteúdo político.

Não se tratou de avaliação estritamente jurídica ou de mérito, mas de movimento articulado de oposição ao governo de Lula.

Partidos fecharam questão, e a indicação foi convertida em campo de disputa política e ideológica. O Senado exerceu a prerrogativa que lhe cabia, mas o fez sob lógica de enfrentamento, não de equilíbrio entre Poderes.

“Combo” legislativo

A rejeição não veio isolada. Na sequência, o Congresso derrubou o veto presidencial ao chamado PL da Dosimetria1, alterando regras de aplicação de penas aos condenados pela tentativa de golpe de Estado; abrindo assim espaço para beneficiar os golpistas dos atos de 8 de janeiro de 2023.

A votação expressiva — 318 deputados e 49 senadores — revela mais do que divergência p",2026-05-06 12:35:16+00:00,https://jornalggn.com.br/opiniao/m-verlaine-maioria-do-congresso-e-contra-o-governo-ou-o-pais/,jornalggn,ESQUERDA,"** A notícia apresenta uma análise crítica da atuação do Senado em relação à indicação de Jorge Messias ao STF, destacando a ruptura com a tradição de mais de um século e a motivação política por trás da rejeição."
"Lula entre Trump e a soberania brasileira, por Reynaldo Aragon",Uma análise do cerco dos Estados Unidos ao Brasil e do teste decisivo de soberania que Lula enfrentará na Casa Branca,"Lula na linha de fogo: entre Trump e a soberania brasileira

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

por Reynaldo Aragon

Não se trata de uma reunião diplomática comum. Lula chega a Washington depois de um ano de tarifas, sanções, ataques às instituições brasileiras, pressão sobre o STF, disputa pelas terras raras e uma ofensiva coordenada que envolve governo, Congresso, big techs e operadores da extrema-direita internacional. Do outro lado, Trump não busca apenas negociar. Busca reposicionar o Brasil dentro de uma arquitetura de dependência. Este texto é um alerta e um mapa. Uma leitura estratégica do que está em jogo, dos riscos ocultos e do que o governo brasileiro precisa fazer para não sair dessa reunião com menos soberania do que entrou.

O encontro que não é diplomático

Não se trata de uma reunião bilateral comum. Lula chega à Casa Branca depois de um ciclo contínuo de pressão que não pode ser confundido com tensão diplomática ordinária. Nos últimos meses, o Brasil foi alvo de uma sequência coordenada de ações que incluem a imposição de tarifas comerciais de grande impacto, a abertura de investigações formais contra práticas econômicas brasileiras, a aplicação de sanções contra autoridades do Judiciário, pressões diretas sobre o funcionamento das plataformas digitais no país e uma ofensiva discursiva que busca enquadrar decisões soberanas como ameaças à ordem internacional. Esse movimento não ocorreu de forma dispersa nem acidental. Ele revela um padrão de atuação que combina instrumentos econômicos, jurídicos, tecnológicos e narrativos para reposicionar o Brasil dentro de uma lógica de dependência.

Nesse contexto, a presença simultânea de atores da extrema-direita brasileira em território americano não é um detalhe periférico, mas parte da mesma engrenagem. Enquanto Lula se dirige oficialmente à Casa Branca, há um circuito paralelo operando no campo simbólico e político, buscando antecipar interpre",2026-05-06 12:55:49+00:00,https://jornalggn.com.br/analise/lula-entre-trump-e-a-soberania-brasileira-por-reynaldo-aragon/,jornalggn,ESQUERDA,"** O texto apresenta uma análise crítica da situação política entre o Brasil e os Estados Unidos, destacando a pressão exercida pelo governo dos EUA sobre o governo brasileiro e as instituições nacionais. A abordagem é caracterizada por um tom de alerta e preocupação com a perda de soberania do Brasil."
Supremo sofre pressão midiática para evitar freios ao Congresso,"Ao focar em teorias da conspiração e ignorar abusos da Lava Jato, mídia profissional fortalece grupos políticos antissistema","Em um bate-papo revelador com o jornalista Luís Nassif, o jurista Georges Abboud expressou seu inconformismo com a forma como a mídia profissional tem abordado pautas relacionadas ao Supremo Tribunal Federal (STF). Abboud destacou que, em vez de focar em problemas reais do Brasil, como o desvio de bilhões, a mídia frequentemente transforma o STF no centro das atenções, chegando a fabricar teorias da conspiração sobre a atuação dos ministros. Ele ressaltou que as críticas ao Supremo parecem artificialmente construídas, ignorando o papel da instituição em enfrentar grupos poderosos politicamente e economicamente.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

Abboud argumentou que o STF tem sido a única instituição a apresentar resistência a esses grupos, citando exemplos como a coragem de abordar a questão dos militares acusados de golpe e a atuação em grandes questões tributárias, onde o Supremo se mostra mais protetor do fisco e do tesouro. Ele lamentou que a mídia, ao focar em escândalos e contratos, desvie a atenção do público das importantes ações do Supremo, seja na pandemia ou em sua história recente, alimentando um “jornalismo de intriga”.

O jurista também abordou a questão da dosimetria, um tema que gera debate sobre sua constitucionalidade. Ele enfatizou que o ambiente criado pelas instituições e pela mídia profissional, especialmente desde dezembro, coloca o Supremo em uma posição de constante exposição a crises. Abboud traçou um paralelo com a Lava Jato, onde o alarido midiático impediu que freios fossem impostos aos abusos, criando um ambiente em que juízes e ministros se sentem desconfortáveis para tomar decisões independentes. Ele criticou a mídia por traduzir decisões não punitivas como “compadrio” ou “acordão”, mesmo diante de provas de conluio e uso de provas ilícitas na Lava Jato.

Georges Abboud defendeu o ministro Dias Toffoli, afirmando que o peso jogado sobre ele se deveu, em grande parte, à",2026-05-05 18:27:05+00:00,https://jornalggn.com.br/politica/supremo-sofre-pressao-midiatica-para-evitar-freios-ao-congresso/,jornalggn,ESQUERDA,"** O texto apresenta uma análise crítica da mídia profissional brasileira em relação à cobertura do Supremo Tribunal Federal (STF), destacando a construção de teorias da conspiração e a falta de abordagem dos problemas reais do país, como o desvio de bilhões."
"Brasil tem o trimestre mais letal para mulheres da história, e governo lança programa de prevenção","Dados revelam que 399 mulheres foram assassinadas por razão de gênero entre janeiro e março de 2026, uma vítima a cada 5 horas e 25 minutos, em média","Com 399 feminicídios entre janeiro e março de 2026, país registra alta de 7,5% em relação ao mesmo período do ano anterior; lei sancionada por Lula propõe atuação integrada entre poderes e setores da sociedade

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

O Brasil atravessa o início de ano mais letal para as mulheres desde que o monitoramento de feminicídios teve início, em 2015. Dados do Ministério da Justiça e Segurança Pública revelam que 399 mulheres foram assassinadas por razão de gênero entre janeiro e março de 2026, uma vítima a cada 5 horas e 25 minutos, em média.

O número representa alta de 7,5% em relação ao mesmo trimestre de 2025 e supera todos os registros anteriores para o período, incluindo os picos de 2022 (372 vítimas) e 2024 (384 vítimas). Em uma década, o total triplicou: eram 125 casos no primeiro trimestre de 2015.

Janeiro foi o mês mais violento do período, com 142 registros, seguido por março (134) e fevereiro (123). Os dados são compilados pelo Sistema Nacional de Informações de Segurança Pública (Sinesp), com base em informações fornecidas pelos estados, pelo Distrito Federal, pela Polícia Federal e pela Polícia Rodoviária Federal.

Geograficamente, São Paulo concentra o maior número absoluto de casos, com 86 vítimas no trimestre. Na sequência aparecem Minas Gerais (42), Paraná (33), Bahia (25) e Rio Grande do Sul (24). Em termos proporcionais, o Amapá registrou o maior crescimento: saiu de 2 para 7 casos na comparação com o mesmo período de 2025, um aumento de 250%. Apenas Acre e Roraima não registraram feminicídios no período.

O cenário agrava um quadro já alarmante: em 2025, o país registrou 1.470 feminicídios ao longo de todo o ano, o maior número já contabilizado desde que o monitoramento foi instituído.

Prevenção

Em resposta a esse quadro, o presidente Luiz Inácio Lula da Silva sancionou a Lei nº 15.398, que institui o Programa Antes que Aconteça. Publicada no Diário Oficial da",2026-05-05 19:00:02+00:00,https://jornalggn.com.br/politica/brasil-trimestre-mais-letal-mulheres-historia/,jornalggn,NEUTRO,"** A notícia apresenta um relato factual sobre a alta de feminicídios no Brasil e o lançamento de um programa de prevenção pelo governo, sem expressar uma opinião claramente partidária."
"Campanha de Tarcísio tem doação de morta e R$ 25 mi irregulares, diz MPE",Órgão eleitoral aponta esquema com “laranjas” e empresas suspeitas; caso abre debate que pode levar à cassação,"A Procuradoria Regional Eleitoral de São Paulo apresentou uma representação formal à Justiça Eleitoral apontando uma série de inconsistências graves na prestação de contas da campanha de Tarcísio de Freitas (Republicanos) ao governo paulista em 2022. De acordo com informações do portal ICL Notícias, o órgão identifica irregularidades que somam R$ 25,2 milhões, o equivalente a 67,5% de todas as despesas contratadas pela chapa.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

O documento, fundamentado no artigo 30-A da Lei das Eleições, sustenta que o volume de recursos sem comprovação adequada e a suspeita de arrecadação ilícita podem, em tese, levar à cassação do diploma do governador e de seu vice, Felicio Ramuth (PSD).

Doação de morta e renda incompatível

Entre os pontos mais críticos levantados pelo Ministério Público Eleitoral (MPE) está uma doação de R$ 600 atribuída a uma mulher que já constava no sistema de controle de óbitos no momento do repasse. Para os procuradores, o caso indica “possível arrecadação irregular” e coloca em xeque a origem real do dinheiro utilizado.

Além disso, a representação lista doadores cujos repasses financeiros são incompatíveis com a renda formal declarada à Receita Federal. Segundo o MPE, a prática sugere o uso de terceiros, os chamados “laranjas”, para ocultar os verdadeiros financiadores da campanha.

“O recebimento de recursos provenientes de fontes vedadas é considerado inconsistência grave, que denota o financiamento da campanha com recursos ilícitos”, afirma a Procuradoria na peça.

Concentração de gastos, empresas sob suspeita e laços políticos

O foco das investigações recai sobre a Beacon Comunicações Ltda., empresa que recebeu R$ 24,3 milhões, concentrando mais de 65% dos gastos totais de Tarcísio. O MPE aponta que não foram apresentados documentos suficientes para comprovar a execução integral dos serviços. “As irregularidades comprometeram a transparência e a fisca",2026-05-06 13:43:16+00:00,https://jornalggn.com.br/politica/campanha-de-tarcisio-tem-doacao-de-morta-e-r-25-mi-irregulares-diz-mpe/,jornalggn,ESQUERDA,"** A notícia apresenta um caso de irregularidade na campanha eleitoral do governador Tarcísio de Freitas, com suspeita de arrecadação ilícita e uso de ""laranjas"" para financiar a campanha. O Ministério Público Eleitoral (MPE) apresentou uma representação formal à Justiça Eleitoral apontando as irregularidades."
